Seed,Name,Perfection,Shield Strength,Health,LS Tanks,SP Power,Drain,Sprint
76,Extinguished Load Balancer,0.25,,33%,,,,
77,Crimson Capacitor,0.208,,,22%,58%,,
78,Nanite-Marked Generator,0.097,,,,,,29%
79,Anointed Generator,0.665,,33%,58%,75%,10%,
80,Doomed Capacitor,0.05,15%,,,,,
81,Cursed Filter,0.095,,,,,8%,21%
82,Released Battery,0.217,32%,,,9%,7%,15%
83,Relinquished Loom,0.246,31%,33%,,,6%,11%
84,Rescued Heat Sink,0.21,33%,33%,12%,,6%,
85,Watery Dampener,0.067,,,33%,,,
86,Glassy Bulwark,0.026,,,,,,15%
87,Nanite-Marked Heat Sink,0.25,,33%,,,,
88,Impossible Loom,0.399,30%,33%,,33%,,
89,Cursed Capacitor,0.118,,,54%,,,
90,Impossible Generator,0.746,22%,33%,,63%,20%,
91,Extinguished Shield Tanks,0,,,,,6%,
92,Rescued Energy Field,0.23,33%,,,,,
93,Salvaged Harmoniser,0.145,,,,,17%,
94,Aeronic Battery,0.164,31%,,14%,,6%,12%
95,Rescued Dynamo,0.095,34%,,5%,,,
96,Doomed Regulator,0.162,,,,49%,,
97,Nanite-Marked Harvester,0.25,,33%,,,,
98,Haunted Load Balancer,0.053,,,,,10%,
99,Polymorphous Generator,0.013,,,,,7%,
100,Polymorphous Harmoniser,0.02,,,,7%,,
101,Doomed Generator,0.223,,,62%,3%,6%,
102,Forsaken Energy Field,0.467,,33%,,70%,,
103,Haunted Bulwark,0.145,,,,,17%,
104,Aeronic Shield Tanks,0.25,,33%,,,,
105,Glassy Diffuser,0.233,,,102%,,,
106,Aeronic Bulwark,0.2,30%,,,,,
107,Crimson Turbine,0.413,19%,,103%,,,
108,Rescued Loom,0.169,34%,,10%,7%,8%,
109,Aeronic Filter,0.056,,,,,,21%
110,Non-compliant Exhaust,0,,,,,,10%
111,Extinguished Dampener,0.17,27%,,,,,
112,Doomed Bulwark,0.014,,33%,7%,,,
113,Polymorphous Generator,0,10%,,,,,
114,Anomalous Filter,0.132,,,60%,,,
115,Anointed Capacitor,0.165,34%,,9%,8%,,16%
116,Anointed Filter,0.25,,33%,,,,
117,Watery Dampener,0.163,,,,,,42%
118,Anointed Stabiliser,0.106,,,49%,,,
119,Crimson Energy Field,0,10%,,,,,
120,Anointed Stabiliser,0.118,,,17%,11%,7%,16%
121,Salvaged Shield Tanks,0.488,14%,,,60%,20%,
122,Doomed Harvester,0.274,,33%,,,16%,
123,Crimson Shield Tanks,0.24,34%,,,,,
124,Relinquished Heat Sink,0.264,,,,66%,,10%
125,Nanite-Marked Turbine,0.24,34%,,,,,
126,Relinquished Filter,0.223,34%,33%,20%,6%,,
127,Anointed Heat Sink,0.102,,,,,,30%
128,Crimson Exhaust,0.259,,,,,22%,29%
129,Impossible Heat Sink,0.013,,,,,7%,
130,Polymorphous Bulwark,0.05,15%,,,,,
131,Crimson Regulator,0.556,13%,,,48%,22%,37%
132,Aeronic Dampener,0,,,,,,10%
133,Anomalous Regulator,0.224,,,,,23%,
134,Rescued Diffuser,0.084,,,8%,28%,,
135,Non-compliant Generator,0.23,,,,,,55%
136,Salvaged Shield Tanks,0.01,,,,,,12%
137,Crimson Battery,0.007,,,,3%,,
138,Doomed Diffuser,0.068,,,,21%,,
139,Crimson Diffuser,0.398,34%,33%,,32%,,13%
140,Doomed Stabiliser,0.149,,33%,,,11%,
141,Released Dynamo,0.341,25%,,,,21%,
142,Rescued Exhaust,0.182,34%,,16%,4%,8%,
143,Impossible Shield Tanks,0.07,,,34%,,,
144,Glassy Dampener,0.047,,,,15%,,
145,Writhing Capacitor,0.178,,,79%,,,
146,Non-compliant Harvester,0.03,13%,,,,,
147,Aeronic Shield Tanks,0.257,32%,33%,,12%,,14%
148,Writhing Stabiliser,0.153,,,,,,40%
149,Relinquished Battery,0.209,34%,33%,13%,,,14%
150,Impossible Stabiliser,0.158,,,,,18%,
151,Relinquished Diffuser,0.149,,,41%,18%,,
152,Relinquished Shield Tanks,0.24,,,,72%,,
153,Writhing Harvester,0.145,,,,,17%,
154,Polymorphous Harmoniser,0,,,5%,,,
155,Nanite-Marked Exhaust,0.026,,,,,8%,
156,Anomalous Regulator,0.361,21%,,80%,,,10%
157,Aeronic Energy Field,0.461,24%,,,,25%,34%
158,Released Load Balancer,0.263,32%,,34%,,,21%
159,Glassy Battery,0.154,,,69%,,,
160,Relinquished Load Balancer,0.073,,33%,14%,,8%,
161,Anomalous Dampener,0.079,,,,3%,6%,23%
162,Released Bulwark,0.047,,,,15%,,
163,Anointed Loom,0.23,33%,,,,,
164,Watery Generator,0.033,,,7%,,,18%
165,Aeronic Capacitor,0.184,,,,,20%,
166,Glassy Shield Tanks,0.116,31%,,5%,11%,,
167,Anointed Bulwark,0.223,,,,67%,,
168,Anointed Harvester,0.125,,,57%,,,
169,Writhing Capacitor,0.155,34%,,10%,,7%,10%
170,Non-compliant Battery,0.695,,33%,102%,,23%,
171,Cursed Harmoniser,0,,,,,6%,
172,Relinquished Stasis Tank,0.061,,,,,,22%
173,Rescued Capacitor,0.151,34%,,7%,7%,7%,
174,Anomalous Dynamo,0.173,,,,,,44%
175,Crimson Heat Sink,0.14,,33%,,,,23%
176,Writhing Heat Sink,0,,,5%,,,
177,Anointed Diffuser,0.008,,,5%,,8%,
178,Forsaken Generator,0.065,,,,10%,,17%
179,Haunted Harmoniser,0.172,,,,52%,,
180,Polymorphous Shield Tanks,0.041,,,22%,,,
181,Nanite-Marked Battery,0.25,,33%,,,,
182,Cursed Load Balancer,0.056,,,,,,21%
183,Glassy Loom,0.312,13%,,32%,,,54%
184,Watery Generator,0.191,33%,33%,,2%,,
185,Impossible Heat Sink,0.222,20%,33%,,18%,,15%
186,Anomalous Heat Sink,0.102,,,,,,30%
187,Writhing Dampener,0.21,31%,,,,,
188,Forsaken Load Balancer,0.166,,,,50%,,
189,Salvaged Shield Tanks,0,,,,,,10%
190,Nanite-Marked Filter,0.22,32%,,,,,
191,Cursed Load Balancer,0,10%,,,,,
192,Nanite-Marked Generator,0.551,33%,33%,,,,41%
193,Extinguished Harmoniser,0.073,,33%,17%,,,12%
194,Impossible Bulwark,0.184,,,,,20%,
195,Anointed Heat Sink,0.24,34%,,,,,
196,Crimson Harvester,0.005,,,7%,,,
197,Non-compliant Generator,0.026,,,,,,15%
198,Forsaken Harmoniser,0.024,,33%,,2%,7%,
199,Polymorphous Harvester,0.25,,33%,,,,
200,Nanite-Marked Turbine,0.443,,33%,97%,,,
201,Cursed Exhaust,0.149,34%,,,6%,,
202,Haunted Loom,0.217,32%,,,12%,6%,13%
203,Non-compliant Filter,0.029,13%,33%,6%,,,
204,Forsaken Loom,0.25,,33%,,,,
205,Anointed Dynamo,0.24,34%,,,,,
206,Aeronic Battery,0.25,,33%,,,,
207,Relinquished Regulator,0.25,,33%,,,,
208,Nanite-Marked Energy Field,0.064,,,,20%,,
209,Aeronic Harvester,0.012,,,10%,,,
210,Aeronic Filter,0.132,,33%,17%,11%,,17%
211,Crimson Battery,0.031,,,,,,16%
212,Doomed Exhaust,0,,,,,,10%
213,Impossible Diffuser,0.207,,,,29%,,33%
214,Non-compliant Battery,0.22,,,,66%,,
215,Impossible Generator,0.219,,,,,,53%
216,Relinquished Bulwark,0.022,,,14%,,,
217,Forsaken Diffuser,0.092,26%,,5%,5%,6%,
218,Rescued Stasis Tank,0.049,,,12%,5%,6%,11%
219,Forsaken Stasis Tank,0.005,,,,,,11%
220,Crimson Capacitor,0.1,20%,,,,,
221,Impossible Load Balancer,0.163,,,73%,,,
222,Aeronic Dampener,0.644,32%,,73%,47%,13%,
223,Anomalous Battery,0.079,,,,,12%,
224,Impossible Diffuser,0.14,24%,,,,,
225,Doomed Battery,0.115,,,53%,,,
226,Forsaken Bulwark,0.158,,,,,,41%
227,Salvaged Harmoniser,0.461,33%,33%,,,,
228,Rescued Harmoniser,0.184,,,37%,,19%,
229,Forsaken Filter,0.149,,,67%,,,
230,Glassy Harvester,0.176,31%,,,6%,8%,11%
231,Aeronic Load Balancer,0.066,,,,,,23%
232,Salvaged Exhaust,0.049,,33%,12%,,,12%
233,Impossible Exhaust,0.629,,33%,,66%,19%,
234,Relinquished Stasis Tank,0,,,,,6%,
235,Salvaged Shield Tanks,0.163,27%,,18%,,8%,
236,Anomalous Exhaust,0.182,33%,,17%,5%,7%,
237,Haunted Turbine,0.209,32%,33%,12%,,,17%
238,Glassy Exhaust,0.25,,33%,,,,
239,Relinquished Load Balancer,0.034,,,,11%,,
240,Crimson Harmoniser,0.043,,,23%,,,
241,Non-compliant Stasis Tank,0.083,25%,,11%,2%,,
242,Aeronic Battery,0.25,,33%,,,,
243,Released Turbine,0.25,,33%,,,,
244,Writhing Filter,0.24,34%,,,,,
245,Relinquished Load Balancer,0.026,,,,,8%,
246,Writhing Stabiliser,0.25,,33%,,,,
247,Cursed Dynamo,0.11,,33%,5%,,7%,27%
248,Anointed Loom,0.039,,,,,9%,
249,Aeronic Heat Sink,0.25,,33%,,,,
250,Salvaged Bulwark,0,,,5%,,,
251,Cursed Bulwark,0.2,30%,,,,,
252,Released Diffuser,0.25,,33%,,,,
253,Polymorphous Energy Field,0.17,,,47%,,,20%
254,Aeronic Load Balancer,0.36,,,,,20%,45%
255,Released Energy Field,0.103,34%,,7%,,,
256,Doomed Bulwark,0.544,,33%,56%,,20%,38%
257,Anointed Harmoniser,0.224,,,,,,54%
258,Nanite-Marked Dynamo,0.25,,33%,,,,
259,Haunted Regulator,0.029,,,17%,,,
260,Crimson Harvester,0.09,19%,,,,,
261,Doomed Exhaust,0.046,,,,,,19%
262,Rescued Harvester,0.25,,33%,,,,
263,Aeronic Harvester,0.038,,,21%,,,
264,Salvaged Load Balancer,0.003,,,,2%,,
265,Anomalous Capacitor,0.432,33%,33%,,,,29%
266,Anointed Loom,0.19,,,,,8%,34%
267,Watery Exhaust,0.2,30%,,,,,
268,Anointed Shield Tanks,0.224,,33%,,,14%,
269,Relinquished Dynamo,0,,,,,6%,
270,Crimson Stasis Tank,0.218,,,72%,,,10%
271,Salvaged Harmoniser,0.182,33%,,17%,5%,7%,
272,Haunted Battery,0,,,,,6%,
273,Aeronic Energy Field,0.013,,,,,7%,
274,Aeronic Filter,0.183,,,81%,,,
275,Extinguished Energy Field,0.481,34%,33%,,,,
276,Relinquished Shield Tanks,0.141,28%,,23%,,,
277,Impossible Exhaust,0.105,,,,,14%,
278,Relinquished Generator,0.348,22%,,16%,72%,,
279,Cursed Heat Sink,0.09,,33%,23%,,,
280,Polymorphous Diffuser,0.046,16%,,,4%,,
281,Relinquished Capacitor,0.149,,33%,,,11%,
282,Doomed Harmoniser,0.243,,,,73%,,
283,Doomed Harmoniser,0.298,,,83%,29%,,
284,Rescued Harmoniser,0.216,,,52%,11%,6%,
285,Haunted Battery,0.209,,,,,,51%
286,Doomed Regulator,0.122,,,,,,34%
287,Salvaged Generator,0.125,31%,,8%,6%,,12%
288,Salvaged Dampener,0.22,32%,,,,,
289,Haunted Stasis Tank,0.25,,33%,,,,
290,Watery Turbine,0.298,,,,22%,24%,27%
291,Released Shield Tanks,0.184,,,,,,46%
292,Writhing Bulwark,0.25,,33%,,,,
293,Anomalous Turbine,0.652,32%,,100%,,8%,20%
294,Impossible Dampener,0.09,19%,,,,,
295,Impossible Diffuser,0.25,,33%,,,,
296,Rescued Harvester,0.24,,,,,,57%
297,Extinguished Shield Tanks,0.044,,,,14%,,
298,Writhing Load Balancer,0.145,,,,,17%,
299,Released Harvester,0.188,,,,2%,,55%
300,Non-compliant Dynamo,0.25,,33%,,,,
301,Crimson Diffuser,0.03,12%,33%,,,,10%
302,Cursed Battery,0.24,,33%,,5%,18%,27%
303,Forsaken Shield Tanks,0.139,,,,9%,,36%
304,Glassy Stabiliser,0.16,26%,,,,,
305,Anomalous Bulwark,0.215,34%,,17%,,7%,15%
306,Relinquished Regulator,0.081,,33%,21%,,,
307,Relinquished Capacitor,0.199,,,,,,49%
308,Aeronic Regulator,0.05,15%,,,,,
309,Non-compliant Stasis Tank,0.189,,,,,,47%
310,Watery Stasis Tank,0.005,,,,,,11%
311,Writhing Stabiliser,0.105,,33%,17%,12%,,10%
312,Cursed Exhaust,0.077,,,,,,25%
313,Salvaged Load Balancer,0.013,,33%,,2%,,
314,Forsaken Shield Tanks,0.097,,,,,,29%
315,Anomalous Regulator,0.037,,,,12%,,
316,Non-compliant Stabiliser,0.047,,,,15%,,
317,Rescued Diffuser,0.007,,,8%,,,
318,Watery Harvester,0.24,34%,,,,,
319,Salvaged Generator,0.154,15%,,,11%,15%,
320,Polymorphous Harvester,0.01,,,,,,12%
321,Anointed Regulator,0.23,33%,,,,,
322,Polymorphous Diffuser,0.003,,,,2%,,
323,Extinguished Energy Field,0.062,21%,,,2%,,
324,Polymorphous Capacitor,0.135,,,,41%,,
325,Non-compliant Harvester,0.2,30%,,,,,
326,Cursed Generator,0.166,,,,9%,23%,16%
327,Extinguished Shield Tanks,0.092,,,,,,28%
328,Aeronic Shield Tanks,0.179,,,,33%,8%,10%
329,Glassy Harmoniser,0.041,,,,,,18%
330,Cursed Exhaust,0.25,,33%,,,,
331,Anomalous Generator,0.056,,,,,,21%
332,Glassy Energy Field,0.062,,33%,,8%,6%,11%
333,Aeronic Harvester,0.48,,33%,,72%,,
334,Anointed Heat Sink,0.199,,,,60%,,
335,Cursed Filter,0.01,,33%,,,,10%
336,Released Regulator,0.06,16%,,,,,
337,Non-compliant Battery,0.305,34%,,,,,31%
338,Polymorphous Dynamo,0.181,33%,,,5%,6%,13%
339,Anointed Dynamo,0.25,,33%,,,,
340,Released Diffuser,0.091,,,,28%,,
341,Impossible Heat Sink,0.132,,,,,16%,
342,Anomalous Stasis Tank,0.607,33%,,83%,,,53%
343,Haunted Capacitor,0.615,34%,,103%,,6%,
344,Crimson Dampener,0.066,,,,,11%,
345,Released Capacitor,0.127,,,18%,33%,,
346,Anomalous Shield Tanks,0.24,,,55%,,15%,
347,Aeronic Regulator,0.026,,,,,8%,
348,Aeronic Loom,0.19,29%,,,,,
349,Rescued Harvester,0.075,,,36%,,,
350,Cursed Bulwark,0.24,34%,,,,,
351,Cursed Diffuser,0.246,32%,33%,,6%,7%,
352,Crimson Harmoniser,0.065,,,11%,18%,,
353,Crimson Heat Sink,0.089,,,,22%,,11%
354,Haunted Stasis Tank,0.25,,33%,,,,
355,Released Load Balancer,0.12,22%,,,,,
356,Relinquished Stasis Tank,0.23,33%,,,,,
357,Impossible Diffuser,0.322,12%,33%,,16%,,40%
358,Salvaged Capacitor,0.179,,,,,,45%
359,Doomed Harvester,0.158,,,12%,,,51%
360,Aeronic Load Balancer,0.147,,33%,,22%,,
361,Rescued Filter,0.024,,,,8%,,
362,Extinguished Load Balancer,0.105,,,,,14%,
363,Anointed Battery,0.17,27%,,,,,
364,Aeronic Capacitor,0.07,17%,,,,,
365,Anomalous Turbine,0.23,33%,33%,15%,,6%,
366,Salvaged Loom,0,,,5%,,,
367,Writhing Generator,0.252,,33%,57%,,,
368,Crimson Regulator,0.2,32%,,20%,9%,,15%
369,Impossible Harvester,0.008,,,,2%,,11%
370,Non-compliant Stasis Tank,0.105,,,,,14%,
371,Watery Generator,0.289,13%,33%,53%,,,10%
372,Non-compliant Capacitor,0,,,,,,10%
373,Extinguished Capacitor,0.17,27%,,,,,
374,Polymorphous Dynamo,0.152,,,,46%,,
375,Nanite-Marked Turbine,0.184,32%,33%,,3%,,12%
376,Extinguished Stasis Tank,0.204,34%,,21%,,6%,
377,Impossible Loom,0.25,,33%,,,,
378,Salvaged Harmoniser,0.25,,33%,,,,
379,Anointed Dampener,0.25,,33%,,,,
380,Relinquished Shield Tanks,0.066,,,,,11%,
381,Writhing Turbine,0.209,,,,,,51%
382,Polymorphous Stabiliser,0.01,,,,4%,,
383,Doomed Generator,0.325,30%,,44%,,11%,
384,Rescued Regulator,0.069,,,,3%,,25%
385,Rescued Filter,0.493,,33%,,74%,,
386,Anomalous Battery,0,,,5%,,,
387,Haunted Bulwark,0.127,,,58%,,,
388,Crimson Shield Tanks,0.031,,,18%,,,
389,Forsaken Energy Field,0.07,17%,,,,,
390,Rescued Harvester,0.376,,,99%,11%,,20%
391,Glassy Exhaust,0.24,34%,,,,,
392,Watery Shield Tanks,0.174,32%,33%,9%,9%,,
393,Haunted Capacitor,0.18,28%,,,,,
394,Doomed Turbine,0.416,31%,,59%,,13%,
395,Crimson Stasis Tank,0.238,,,104%,,,
396,Rescued Filter,0,,,5%,,,
397,Haunted Harmoniser,0.24,34%,,,,,
398,Anointed Capacitor,0.057,,,,18%,,
399,Extinguished Diffuser,0.106,,,49%,,,
400,Released Dynamo,0.189,,33%,,5%,11%,27%
401,Extinguished Harvester,0.374,,,,,16%,51%
402,Glassy Harmoniser,0.041,,,,13%,,
403,Doomed Loom,0.25,,33%,,,,
404,Anointed Load Balancer,0.005,,,7%,,,
405,Anomalous Generator,0.02,,,,7%,,
406,Relinquished Regulator,0.311,22%,33%,,22%,9%,
407,Released Stabiliser,0.25,,33%,,,,
408,Polymorphous Load Balancer,0.206,14%,,,38%,,
409,Aeronic Energy Field,0.398,32%,33%,60%,4%,,
410,Non-compliant Battery,0.25,,33%,,,,
411,Released Load Balancer,0.152,,,,46%,,
412,Watery Dampener,0.24,,,,,,57%
413,Aeronic Diffuser,0.194,,,,,,48%
414,Cursed Generator,0.13,25%,33%,,2%,,
415,Anointed Harvester,0.079,,,8%,,22%,
416,Glassy Battery,0.25,,33%,,,,
417,Haunted Stabiliser,0.02,,,,7%,,
418,Polymorphous Diffuser,0.13,23%,,,,,
419,Haunted Battery,0.141,34%,,12%,,,12%
420,Anomalous Harmoniser,0.098,25%,,15%,,,
421,Doomed Turbine,0.012,,,10%,,,
422,Doomed Bulwark,0.25,,33%,,,,
423,Writhing Harmoniser,0.131,,,26%,,17%,
424,Doomed Heat Sink,0.071,,,,22%,,
425,Anomalous Filter,0.135,,,24%,,6%,22%
426,Released Harmoniser,0.25,,33%,,,,
427,Nanite-Marked Harmoniser,0.158,31%,33%,10%,,,
428,Anointed Harmoniser,0.044,,,,14%,,
429,Aeronic Regulator,0.1,,33%,25%,,,
430,Doomed Shield Tanks,0.25,,33%,,,,
431,Impossible Filter,0.25,,33%,,,,
432,Extinguished Stasis Tank,0.003,,,,2%,,
433,Anomalous Battery,0.026,,,,,8%,
434,Watery Diffuser,0.25,,33%,,,,
435,Haunted Load Balancer,0.361,34%,,74%,,,
436,Aeronic Exhaust,0.329,34%,,,,11%,
437,Glassy Capacitor,0.191,,,41%,33%,,
438,Rescued Stabiliser,0.375,,,78%,,25%,
439,Forsaken Bulwark,0.173,,,,,,44%
440,Polymorphous Dynamo,0.159,,,,48%,,
441,Released Dynamo,0.02,,33%,,3%,,
442,Relinquished Turbine,0.236,,,103%,,,
443,Writhing Stasis Tank,0.024,,33%,,,6%,
444,Forsaken Diffuser,0.017,,,,6%,,
445,Cursed Harvester,0.099,,33%,,,9%,
446,Released Bulwark,0.033,,33%,,5%,,
447,Extinguished Turbine,0.45,,33%,,,,54%
448,Doomed Turbine,0.037,,,,12%,,
449,Writhing Shield Tanks,0.086,13%,,16%,,9%,10%
450,Anomalous Stasis Tank,0.056,,,,,,21%
451,Nanite-Marked Shield Tanks,0.22,32%,,,,,
452,Watery Exhaust,0.044,,,,14%,,
453,Non-compliant Energy Field,0.079,,,,,12%,
454,Writhing Load Balancer,0.017,,,12%,,,
455,Rescued Harmoniser,0.061,,,,19%,,
456,Released Diffuser,0.454,30%,,105%,4%,,
457,Extinguished Bulwark,0.25,,33%,,,,
458,Aeronic Regulator,0.259,,33%,,,8%,31%
459,Non-compliant Loom,0.046,,,,,,19%
460,Impossible Load Balancer,0.277,34%,33%,20%,,7%,
461,Anointed Harmoniser,0.252,27%,,53%,,,
462,Polymorphous Bulwark,0.185,33%,,9%,,8%,17%
463,Non-compliant Dynamo,0.149,31%,,12%,,6%,11%
464,Anointed Dampener,0.168,,,,,,43%
465,Non-compliant Diffuser,0.263,28%,,,35%,,
466,Writhing Harmoniser,0.398,22%,,,,,57%
467,Non-compliant Exhaust,0.25,,33%,,,,
468,Doomed Shield Tanks,0.041,,,,,,18%
469,Haunted Dynamo,0.056,,,,,,21%
470,Nanite-Marked Bulwark,0.25,,33%,,,,
471,Glassy Dampener,0.012,,,10%,,,
472,Salvaged Heat Sink,0.1,,33%,,15%,,
473,Rescued Energy Field,0.266,,,67%,2%,13%,
474,Haunted Generator,0.111,,33%,,11%,7%,14%
475,Crimson Diffuser,0.202,,,89%,,,
476,Salvaged Stasis Tank,0.008,,33%,5%,2%,,
477,Non-compliant Harvester,0.184,,,,,,46%
478,Nanite-Marked Load Balancer,0.142,32%,,7%,8%,6%,
479,Released Harvester,0.153,,,,,,40%
480,Polymorphous Dampener,0.128,,,,,,35%
481,Haunted Stasis Tank,0.187,,,,19%,,38%
482,Glassy Shield Tanks,0.128,,,,39%,,
483,Anomalous Regulator,0.104,,33%,14%,,7%,17%
484,Anointed Dynamo,0.191,33%,,19%,4%,8%,
485,Haunted Exhaust,0.25,,33%,,,,
486,Crimson Load Balancer,0.183,,,81%,,,
487,Watery Heat Sink,0.01,,,,4%,,
488,Rescued Load Balancer,0.251,34%,33%,,9%,,
489,Cursed Harmoniser,0.097,,,,24%,,11%
490,Crimson Dynamo,0.25,,33%,,,,
491,Cursed Regulator,0.179,,,,,,45%
492,Impossible Energy Field,0.256,,,,43%,,31%
493,Salvaged Harvester,0.003,,,,2%,,
494,Crimson Exhaust,0.097,,33%,18%,,8%,
495,Aeronic Loom,0.167,,33%,,25%,,
496,Anointed Heat Sink,0.145,,,,,17%,
497,Non-compliant Generator,0.16,31%,,17%,5%,,13%
498,Cursed Shield Tanks,0.038,,,21%,,,
499,Forsaken Stasis Tank,0.102,,,,,,30%
500,Rescued Loom,0.11,14%,,6%,,,31%
501,Doomed Capacitor,0.34,,33%,,51%,,
502,Anointed Diffuser,0.199,,33%,,,13%,
503,Crimson Exhaust,0.079,,,,,12%,
504,Glassy Filter,0.236,,,103%,,,
505,Extinguished Energy Field,0.263,,,70%,,6%,
506,Forsaken Diffuser,0.085,,33%,,9%,,15%
507,Relinquished Dynamo,0.135,,,,41%,,
508,Impossible Shield Tanks,0.158,24%,,,,6%,
509,Doomed Dampener,0.161,,,72%,,,
510,Cursed Heat Sink,0.532,34%,33%,,,13%,
511,Non-compliant Regulator,0.818,,33%,96%,,7%,59%
512,Aeronic Battery,0.25,,33%,,,,
513,Rescued Loom,0.295,31%,,,,11%,
514,Writhing Stabiliser,0.25,,33%,,,,
515,Non-compliant Bulwark,0.124,,33%,,,10%,
516,Salvaged Regulator,0,,,,,,10%
517,Anomalous Harmoniser,0.038,,,21%,,,
518,Writhing Diffuser,0.053,,,,,10%,
519,Crimson Load Balancer,0.392,33%,33%,,5%,,40%
520,Glassy Battery,0,,,5%,,,
521,Released Regulator,0.257,31%,33%,,12%,,15%
522,Aeronic Stabiliser,0.228,,,37%,28%,7%,
523,Released Diffuser,0.446,,33%,,46%,16%,
524,Extinguished Dynamo,0,,,,,6%,
525,Impossible Stasis Tank,0.099,,,46%,,,
526,Non-compliant Stasis Tank,0.381,,,92%,,7%,10%
527,Forsaken Harmoniser,0.06,16%,,,,,
528,Impossible Harvester,0.069,,33%,13%,,6%,13%
529,Aeronic Dynamo,0.02,,,,,,14%
530,Doomed Harmoniser,0.19,,33%,,,,28%
531,Extinguished Energy Field,0.25,,33%,,,,
532,Released Turbine,0.075,,33%,16%,,6%,11%
533,Non-compliant Turbine,0.215,,33%,,,6%,29%
534,Non-compliant Heat Sink,0.061,,,,,,22%
535,Anointed Stasis Tank,0.194,,,,,,48%
