sep=,
Seed,Name,Perfection,Ship_Launcher_TakeOffCost,Ship_Launcher_AutoCharge
260,Conscious Clusters,1.0,-20%,Enabled
261,Celestial Brain Node,1.0,-20%,Enabled
262,Celestial Jelly,1.0,-20%,Enabled
263,Conscious Membrane,1.0,-20%,Enabled
264,Celestial Jelly,1.0,-20%,Enabled
265,Impossible Tendril,1.0,-20%,Enabled
266,Celestial Clusters,1.0,-20%,Enabled
267,Imagined Brain Node,1.0,-20%,Enabled
268,Celestial Tendril,1.0,-20%,Enabled
269,Impossible Membrane,1.0,-20%,Enabled
270,Conscious Lobes,1.0,-20%,Enabled
271,Celestial Coils,1.0,-20%,Enabled
272,Conscious Tendril,1.0,-20%,Enabled
273,Conscious Brain Node,1.0,-20%,Enabled
274,Conscious Brain Node,1.0,-20%,Enabled
275,Impossible Brain Node,1.0,-20%,Enabled
276,Impossible Nodules,1.0,-20%,Enabled
277,Imagined Tendril,1.0,-20%,Enabled
278,Impossible Brain Node,1.0,-20%,Enabled
279,Timeless Lobes,1.0,-20%,Enabled
280,Imagined Jelly,1.0,-20%,Enabled
281,Impossible Coils,1.0,-20%,Enabled
282,Celestial Coils,1.0,-20%,Enabled
283,Celestial Nodules,1.0,-20%,Enabled
284,Celestial Coils,1.0,-20%,Enabled
285,Conscious Lobes,1.0,-20%,Enabled
286,Celestial Clusters,1.0,-20%,Enabled
287,Celestial Brain Node,1.0,-20%,Enabled
288,Celestial Bio-Anomaly,1.0,-20%,Enabled
289,Conscious Bio-Anomaly,1.0,-20%,Enabled
290,Imagined Membrane,1.0,-20%,Enabled
291,Impossible Membrane,1.0,-20%,Enabled
292,Imagined Bio-Anomaly,1.0,-20%,Enabled
293,Impossible Clusters,1.0,-20%,Enabled
294,Imagined Membrane,1.0,-20%,Enabled
295,Imagined Membrane,1.0,-20%,Enabled
296,Celestial Tendril,1.0,-20%,Enabled
297,Impossible Jelly,1.0,-20%,Enabled
298,Imagined Bio-Anomaly,1.0,-20%,Enabled
299,Impossible Lobes,1.0,-20%,Enabled
300,Timeless Lobes,1.0,-20%,Enabled
301,Conscious Clusters,1.0,-20%,Enabled
302,Timeless Nodules,1.0,-20%,Enabled
303,Timeless Brain Node,1.0,-20%,Enabled
304,Conscious Lobes,1.0,-20%,Enabled
305,Impossible Tendril,1.0,-20%,Enabled
306,Impossible Nodules,1.0,-20%,Enabled
307,Impossible Tendril,1.0,-20%,Enabled
308,Conscious Bio-Anomaly,1.0,-20%,Enabled
309,Timeless Bio-Anomaly,1.0,-20%,Enabled
310,Imagined Jelly,1.0,-20%,Enabled
311,Imagined Coils,1.0,-20%,Enabled
312,Timeless Coils,1.0,-20%,Enabled
313,Celestial Clusters,1.0,-20%,Enabled
314,Timeless Jelly,1.0,-20%,Enabled
315,Impossible Coils,1.0,-20%,Enabled
316,Timeless Nodules,1.0,-20%,Enabled
317,Celestial Nodules,1.0,-20%,Enabled
318,Imagined Jelly,1.0,-20%,Enabled
319,Celestial Brain Node,1.0,-20%,Enabled
320,Imagined Membrane,1.0,-20%,Enabled
321,Celestial Jelly,1.0,-20%,Enabled
322,Imagined Bio-Anomaly,1.0,-20%,Enabled
323,Impossible Coils,1.0,-20%,Enabled
324,Imagined Membrane,1.0,-20%,Enabled
325,Timeless Membrane,1.0,-20%,Enabled
326,Timeless Tendril,1.0,-20%,Enabled
327,Impossible Brain Node,1.0,-20%,Enabled
328,Conscious Clusters,1.0,-20%,Enabled
329,Conscious Tendril,1.0,-20%,Enabled
330,Timeless Tendril,1.0,-20%,Enabled
331,Impossible Lobes,1.0,-20%,Enabled
332,Conscious Membrane,1.0,-20%,Enabled
333,Conscious Lobes,1.0,-20%,Enabled
334,Celestial Jelly,1.0,-20%,Enabled
335,Timeless Brain Node,1.0,-20%,Enabled
336,Impossible Jelly,1.0,-20%,Enabled
337,Timeless Bio-Anomaly,1.0,-20%,Enabled
338,Imagined Bio-Anomaly,1.0,-20%,Enabled
339,Celestial Membrane,1.0,-20%,Enabled
340,Impossible Clusters,1.0,-20%,Enabled
341,Imagined Bio-Anomaly,1.0,-20%,Enabled
342,Impossible Coils,1.0,-20%,Enabled
343,Conscious Clusters,1.0,-20%,Enabled
344,Conscious Brain Node,1.0,-20%,Enabled
345,Impossible Coils,1.0,-20%,Enabled
346,Impossible Tendril,1.0,-20%,Enabled
347,Conscious Clusters,1.0,-20%,Enabled
348,Conscious Bio-Anomaly,1.0,-20%,Enabled
349,Celestial Brain Node,1.0,-20%,Enabled
350,Timeless Brain Node,1.0,-20%,Enabled
351,Timeless Membrane,1.0,-20%,Enabled
352,Conscious Tendril,1.0,-20%,Enabled
353,Conscious Clusters,1.0,-20%,Enabled
354,Conscious Coils,1.0,-20%,Enabled
355,Impossible Brain Node,1.0,-20%,Enabled
356,Impossible Lobes,1.0,-20%,Enabled
357,Imagined Coils,1.0,-20%,Enabled
358,Celestial Membrane,1.0,-20%,Enabled
359,Celestial Lobes,1.0,-20%,Enabled
360,Conscious Nodules,1.0,-20%,Enabled
361,Celestial Membrane,1.0,-20%,Enabled
362,Impossible Coils,1.0,-20%,Enabled
363,Celestial Brain Node,1.0,-20%,Enabled
364,Conscious Clusters,1.0,-20%,Enabled
365,Impossible Nodules,1.0,-20%,Enabled
366,Celestial Brain Node,1.0,-20%,Enabled
367,Imagined Lobes,1.0,-20%,Enabled
368,Conscious Clusters,1.0,-20%,Enabled
369,Imagined Membrane,1.0,-20%,Enabled
370,Timeless Jelly,1.0,-20%,Enabled
371,Imagined Brain Node,1.0,-20%,Enabled
372,Timeless Jelly,1.0,-20%,Enabled
373,Impossible Nodules,1.0,-20%,Enabled
374,Imagined Jelly,1.0,-20%,Enabled
375,Timeless Brain Node,1.0,-20%,Enabled
376,Impossible Brain Node,1.0,-20%,Enabled
377,Imagined Brain Node,1.0,-20%,Enabled
378,Celestial Jelly,1.0,-20%,Enabled
379,Celestial Membrane,1.0,-20%,Enabled
380,Impossible Brain Node,1.0,-20%,Enabled
381,Imagined Jelly,1.0,-20%,Enabled
382,Imagined Tendril,1.0,-20%,Enabled
383,Celestial Jelly,1.0,-20%,Enabled
384,Celestial Brain Node,1.0,-20%,Enabled
385,Celestial Nodules,1.0,-20%,Enabled
386,Impossible Brain Node,1.0,-20%,Enabled
387,Conscious Bio-Anomaly,1.0,-20%,Enabled
388,Conscious Membrane,1.0,-20%,Enabled
389,Timeless Clusters,1.0,-20%,Enabled
390,Celestial Clusters,1.0,-20%,Enabled
391,Conscious Jelly,1.0,-20%,Enabled
392,Imagined Jelly,1.0,-20%,Enabled
393,Conscious Membrane,1.0,-20%,Enabled
394,Celestial Jelly,1.0,-20%,Enabled
395,Conscious Lobes,1.0,-20%,Enabled
396,Celestial Coils,1.0,-20%,Enabled
397,Conscious Brain Node,1.0,-20%,Enabled
398,Celestial Bio-Anomaly,1.0,-20%,Enabled
399,Impossible Coils,1.0,-20%,Enabled
400,Impossible Lobes,1.0,-20%,Enabled
401,Impossible Lobes,1.0,-20%,Enabled
402,Conscious Jelly,1.0,-20%,Enabled
403,Celestial Nodules,1.0,-20%,Enabled
404,Celestial Nodules,1.0,-20%,Enabled
405,Impossible Nodules,1.0,-20%,Enabled
406,Impossible Brain Node,1.0,-20%,Enabled
407,Impossible Jelly,1.0,-20%,Enabled
408,Imagined Tendril,1.0,-20%,Enabled
409,Conscious Clusters,1.0,-20%,Enabled
410,Timeless Lobes,1.0,-20%,Enabled
411,Impossible Membrane,1.0,-20%,Enabled
412,Imagined Coils,1.0,-20%,Enabled
413,Conscious Clusters,1.0,-20%,Enabled
414,Timeless Coils,1.0,-20%,Enabled
415,Celestial Nodules,1.0,-20%,Enabled
416,Conscious Coils,1.0,-20%,Enabled
417,Conscious Tendril,1.0,-20%,Enabled
418,Imagined Nodules,1.0,-20%,Enabled
419,Conscious Bio-Anomaly,1.0,-20%,Enabled
420,Impossible Brain Node,1.0,-20%,Enabled
421,Celestial Membrane,1.0,-20%,Enabled
422,Celestial Clusters,1.0,-20%,Enabled
423,Imagined Tendril,1.0,-20%,Enabled
424,Celestial Brain Node,1.0,-20%,Enabled
425,Impossible Brain Node,1.0,-20%,Enabled
426,Impossible Clusters,1.0,-20%,Enabled
427,Timeless Membrane,1.0,-20%,Enabled
428,Celestial Jelly,1.0,-20%,Enabled
429,Conscious Nodules,1.0,-20%,Enabled
430,Celestial Jelly,1.0,-20%,Enabled
431,Imagined Nodules,1.0,-20%,Enabled
432,Impossible Bio-Anomaly,1.0,-20%,Enabled
433,Impossible Coils,1.0,-20%,Enabled
434,Imagined Brain Node,1.0,-20%,Enabled
435,Conscious Brain Node,1.0,-20%,Enabled
436,Conscious Clusters,1.0,-20%,Enabled
437,Conscious Coils,1.0,-20%,Enabled
438,Celestial Brain Node,1.0,-20%,Enabled
439,Timeless Bio-Anomaly,1.0,-20%,Enabled
440,Imagined Brain Node,1.0,-20%,Enabled
441,Impossible Jelly,1.0,-20%,Enabled
442,Impossible Membrane,1.0,-20%,Enabled
443,Imagined Clusters,1.0,-20%,Enabled
444,Timeless Membrane,1.0,-20%,Enabled
445,Timeless Jelly,1.0,-20%,Enabled
446,Impossible Jelly,1.0,-20%,Enabled
447,Impossible Lobes,1.0,-20%,Enabled
448,Celestial Jelly,1.0,-20%,Enabled
449,Imagined Brain Node,1.0,-20%,Enabled
450,Impossible Nodules,1.0,-20%,Enabled
451,Timeless Clusters,1.0,-20%,Enabled
452,Imagined Coils,1.0,-20%,Enabled
453,Timeless Coils,1.0,-20%,Enabled
454,Imagined Nodules,1.0,-20%,Enabled
455,Celestial Lobes,1.0,-20%,Enabled
456,Impossible Brain Node,1.0,-20%,Enabled
457,Impossible Brain Node,1.0,-20%,Enabled
458,Conscious Brain Node,1.0,-20%,Enabled
459,Timeless Jelly,1.0,-20%,Enabled
460,Imagined Bio-Anomaly,1.0,-20%,Enabled
461,Celestial Bio-Anomaly,1.0,-20%,Enabled
462,Imagined Membrane,1.0,-20%,Enabled
463,Timeless Coils,1.0,-20%,Enabled
464,Celestial Membrane,1.0,-20%,Enabled
465,Timeless Clusters,1.0,-20%,Enabled
466,Imagined Bio-Anomaly,1.0,-20%,Enabled
467,Timeless Brain Node,1.0,-20%,Enabled
468,Celestial Membrane,1.0,-20%,Enabled
469,Conscious Brain Node,1.0,-20%,Enabled
470,Timeless Bio-Anomaly,1.0,-20%,Enabled
471,Conscious Brain Node,1.0,-20%,Enabled
472,Celestial Tendril,1.0,-20%,Enabled
473,Celestial Tendril,1.0,-20%,Enabled
474,Conscious Lobes,1.0,-20%,Enabled
475,Conscious Jelly,1.0,-20%,Enabled
476,Celestial Brain Node,1.0,-20%,Enabled
477,Timeless Coils,1.0,-20%,Enabled
478,Timeless Bio-Anomaly,1.0,-20%,Enabled
479,Impossible Jelly,1.0,-20%,Enabled
480,Imagined Coils,1.0,-20%,Enabled
481,Conscious Brain Node,1.0,-20%,Enabled
482,Conscious Clusters,1.0,-20%,Enabled
483,Impossible Membrane,1.0,-20%,Enabled
484,Celestial Membrane,1.0,-20%,Enabled
485,Conscious Brain Node,1.0,-20%,Enabled
486,Conscious Brain Node,1.0,-20%,Enabled
487,Imagined Brain Node,1.0,-20%,Enabled
488,Celestial Coils,1.0,-20%,Enabled
489,Timeless Tendril,1.0,-20%,Enabled
490,Conscious Bio-Anomaly,1.0,-20%,Enabled
491,Timeless Lobes,1.0,-20%,Enabled
492,Imagined Lobes,1.0,-20%,Enabled
493,Celestial Brain Node,1.0,-20%,Enabled
494,Conscious Jelly,1.0,-20%,Enabled
495,Conscious Coils,1.0,-20%,Enabled
496,Celestial Lobes,1.0,-20%,Enabled
497,Timeless Tendril,1.0,-20%,Enabled
498,Timeless Jelly,1.0,-20%,Enabled
499,Timeless Bio-Anomaly,1.0,-20%,Enabled
500,Celestial Nodules,1.0,-20%,Enabled
501,Celestial Membrane,1.0,-20%,Enabled
502,Celestial Nodules,1.0,-20%,Enabled
503,Conscious Lobes,1.0,-20%,Enabled
504,Conscious Brain Node,1.0,-20%,Enabled
505,Impossible Clusters,1.0,-20%,Enabled
506,Timeless Brain Node,1.0,-20%,Enabled
507,Impossible Jelly,1.0,-20%,Enabled
508,Imagined Clusters,1.0,-20%,Enabled
509,Celestial Brain Node,1.0,-20%,Enabled
510,Timeless Brain Node,1.0,-20%,Enabled
511,Timeless Brain Node,1.0,-20%,Enabled
512,Conscious Membrane,1.0,-20%,Enabled
513,Celestial Nodules,1.0,-20%,Enabled
514,Imagined Brain Node,1.0,-20%,Enabled
515,Timeless Tendril,1.0,-20%,Enabled
516,Celestial Lobes,1.0,-20%,Enabled
517,Impossible Brain Node,1.0,-20%,Enabled
518,Imagined Bio-Anomaly,1.0,-20%,Enabled
519,Conscious Jelly,1.0,-20%,Enabled
520,Conscious Membrane,1.0,-20%,Enabled
521,Impossible Bio-Anomaly,1.0,-20%,Enabled
522,Conscious Brain Node,1.0,-20%,Enabled
523,Impossible Bio-Anomaly,1.0,-20%,Enabled
524,Impossible Membrane,1.0,-20%,Enabled
525,Imagined Coils,1.0,-20%,Enabled
526,Timeless Nodules,1.0,-20%,Enabled
527,Timeless Lobes,1.0,-20%,Enabled
528,Imagined Brain Node,1.0,-20%,Enabled
529,Conscious Membrane,1.0,-20%,Enabled
530,Celestial Bio-Anomaly,1.0,-20%,Enabled
531,Impossible Jelly,1.0,-20%,Enabled
532,Impossible Clusters,1.0,-20%,Enabled
533,Timeless Bio-Anomaly,1.0,-20%,Enabled
534,Timeless Coils,1.0,-20%,Enabled
535,Celestial Lobes,1.0,-20%,Enabled
536,Timeless Nodules,1.0,-20%,Enabled
537,Imagined Coils,1.0,-20%,Enabled
538,Conscious Tendril,1.0,-20%,Enabled
539,Impossible Nodules,1.0,-20%,Enabled
540,Imagined Clusters,1.0,-20%,Enabled
541,Impossible Brain Node,1.0,-20%,Enabled
542,Imagined Jelly,1.0,-20%,Enabled
543,Impossible Bio-Anomaly,1.0,-20%,Enabled
544,Imagined Coils,1.0,-20%,Enabled
545,Celestial Nodules,1.0,-20%,Enabled
546,Celestial Membrane,1.0,-20%,Enabled
547,Impossible Bio-Anomaly,1.0,-20%,Enabled
548,Imagined Bio-Anomaly,1.0,-20%,Enabled
549,Celestial Lobes,1.0,-20%,Enabled
550,Imagined Jelly,1.0,-20%,Enabled
551,Impossible Coils,1.0,-20%,Enabled
552,Conscious Nodules,1.0,-20%,Enabled
553,Celestial Nodules,1.0,-20%,Enabled
554,Conscious Brain Node,1.0,-20%,Enabled
555,Impossible Membrane,1.0,-20%,Enabled
556,Timeless Membrane,1.0,-20%,Enabled
557,Timeless Coils,1.0,-20%,Enabled
558,Conscious Brain Node,1.0,-20%,Enabled
559,Impossible Brain Node,1.0,-20%,Enabled
560,Celestial Membrane,1.0,-20%,Enabled
561,Celestial Coils,1.0,-20%,Enabled
562,Celestial Lobes,1.0,-20%,Enabled
563,Impossible Brain Node,1.0,-20%,Enabled
