sep=,
Seed,Name,Perfection,Product_Age,Product_Basevalue
63,Unusual Thruster,0.31545,721,949330
64,Crusty Seal,0.07037,200,301125
65,Unusual Circuits,0.14133,841,488820
66,Blackened Plug,0.05661,335,264718
67,Pitted Actuator,0.03131,345,197809
68,Fused Pinion,0.0119,287,146472
69,Dirty Belt,0.22533,1030,710989
70,Unusual Storage Unit,0.07266,389,307185
71,Tarnished Casing,0.08302,327,334571
72,Corroded Board,0.02595,207,183635
73,Blackened Plating,0.07183,292,304991
74,Sparking Thruster,0.00028,250,115730
75,Damaged Board,0.00739,363,134558
76,Fused Chip,0.17569,680,579696
77,High-tech Regulator,0.43784,1569,1273062
78,Dirty Radiator,0.05004,338,247348
79,Weathered Casing,0.28463,861,867830
80,Weathered Bearing,0.03633,320,211081
81,Tarnished Tank,0.05881,421,270536
82,Tarnished Valves,0.06462,363,285911
83,Pitted Valves,0.00222,299,120884
84,Buzzing Thruster,0.01956,353,166724
85,Sparking Plating,0.07702,351,318714
86,Buzzing Compressor,0.04902,215,244645
87,Intact Torquer,0.72545,2387,2033765
88,Pitted Sprockets,0.16061,872,539810
89,Unusual Actuator,0.04854,432,243374
90,Bent Inlet,0.05592,493,262910
91,Repurposed Sprockets,0.00732,451,134356
92,Water-stained Radiator,0.00031,440,115821
93,Humming Pinion,0.04649,290,237974
94,Humming Sprockets,0.06133,418,277212
95,Tarnished Radiator,0.02686,253,186048
96,Oily Plug,0.04681,458,238814
97,Corroded Casing,0.32587,641,976895
98,Intricate Torquer,0.61893,1697,1752019
99,Weathered Thruster,0.13243,709,465256
100,Crusty Seal,0.2771,1049,847905
101,Crusty Plating,0.06976,377,299522
102,Water-stained Connector,0.17865,1080,587522
103,Weathered Sprockets,0.06112,235,276670
104,Tarnished Belting,0.07533,250,314254
105,Buzzing Heat Pipes,0.07806,367,321457
106,Rusty Crank,0.00504,429,128329
107,Weathered Tank,0.05483,255,260018
108,Odd Heat Pipes,0.00189,327,119999
109,Repurposed Pistons,0.25578,1074,791531
110,Dirty Cog,0.21214,776,676083
111,Odd Bearing,0.23158,1071,727523
112,Fused Compressor,0.28281,718,863000
113,Odd Belting,0.03683,223,212407
114,Pitted Belting,0.30831,1099,930468
115,Water-stained Chip,0.00969,394,140623
116,Tarnished Ballute,0.04031,374,221609
117,Dirty Sprockets,0.30571,803,923585
118,Unusual Belting,0.00189,326,120000
119,Weathered Seal,0.18017,630,591533
120,Tarnished Bearing,0.06847,435,296104
121,Repurposed Chip,0.24992,667,776024
122,Oily Tank,0.01686,242,159590
123,Repurposed Cylinders,0.1969,786,635777
124,Water-stained Bearing,0.03513,413,207929
125,Crusty Sprockets,0.06992,448,299930
126,Sparking Seal,0.02727,210,187130
127,Weathered Cylinders,0.04264,467,227783
128,Blackened Compressor,0.03297,359,202210
129,Advanced Hydraulics,0.79799,1823,2225629
130,Water-stained Casing,0.14213,811,490931
131,Damaged Casing,0.25792,786,797167
132,Rusty Belt,0.07453,450,312120
133,Sparking Pump,0.29136,991,885627
134,Greasy Display,0.00968,386,140597
135,Blackened Thruster,0.03236,307,200597
136,Intact Gyroscope,0.88939,1825,2467359
137,Unusual Inlet,0.06168,449,278147
138,Damaged Sprockets,0.13555,960,473530
139,Bent Pump,0.04789,485,241665
140,Unusual Circuits,0.17485,948,577463
141,Odd Board,0.00887,209,138461
142,Repurposed Plug,0.0381,249,215771
143,Oily Reservoir,0.03838,201,216513
144,Chewed Board,0.07751,259,319999
145,Blackened Storage Unit,0.18151,961,595084
146,Sparking Plating,0.03175,386,198971
147,Sparking Tank,0.08307,258,334723
148,Damaged Display,0.21364,1035,680075
149,Crusty Storage Unit,0.0079,410,135895
150,Dirty Pinion,0.13427,1096,470136
151,Fused Pinion,0.02521,456,181691
152,Chewed Pump,0.01612,366,157643
153,Dirty Thruster,0.02865,355,190767
154,Chewed Booster,0.20498,657,657144
155,Pitted Connector,0.08231,282,332704
156,Blackened Belting,0.15606,787,527760
157,Advanced Gyroscope,0.59378,1794,1685512
158,Dirty Display,0.06406,286,284429
159,Water-stained Actuator,0.06109,222,276588
160,Unusual Chip,0.01937,308,166219
161,Buzzing Compressor,0.24734,1085,769207
162,Buzzing Cylinders,0.07925,293,324600
163,Odd Compressor,0.01492,416,154466
164,High-tech Hydraulics,0.71464,2923,2005174
165,Weathered Plating,0.22671,838,714618
166,Water-stained Reservoir,0.27796,883,850191
167,Fused Cylinders,0.04848,342,243221
168,Sparking Belt,0.20475,928,656538
169,Repurposed Display,0.03024,293,194991
170,Dirty Ballute,0.14901,770,509124
171,Corroded Crank,0.03954,290,219571
172,Dirty Cylinders,0.06311,482,281912
173,Fused Radiator,0.03381,468,204421
174,Greasy Thruster,0.23863,1073,746156
175,Odd Thruster,0.07558,432,314907
176,Sparking Belting,0.07137,486,303758
177,Odd Inlet,0.05404,396,257941
178,Corroded Gear,0.13425,631,470091
179,Unusual Cog,0.03933,301,219024
180,Blackened Inlet,0.0751,289,313636
181,Weathered Seal,0.24289,1098,757415
182,Experimental Gyroscope,0.44829,2857,1300697
183,Tarnished Sprockets,0.2465,742,766974
184,Blackened Booster,0.07794,337,321139
185,Damaged Cog,0.08025,407,327263
186,Weathered Plating,0.03834,250,216404
187,Rusty Cylinders,0.27286,855,836699
188,Blackened Tank,0.24666,721,767409
189,Unusual Sprockets,0.26073,790,804606
190,Well-preserved Torquer,0.50484,2998,1450275
191,Fused Compressor,0.04418,287,231852
192,Experimental Accelerometer,0.44115,2104,1281819
193,Intricate Regulator,0.51616,1623,1480217
194,Odd Chip,0.20578,798,659281
195,Crusty Bearing,0.05698,387,265709
196,Chewed Pump,0.0508,236,249362
197,Chewed Thruster,0.00133,292,118514
198,Blackened Plug,0.26037,726,803662
199,Buzzing Sprockets,0.26275,821,809963
200,Weathered Plug,0.0055,437,129559
201,Humming Compressor,0.18884,972,614479
202,Humming Connector,0.08394,261,337022
203,Corroded Gear,0.00214,283,120649
204,Dirty Circuits,0.0052,274,128754
205,Sparking Booster,0.3167,956,952658
206,Greasy Thruster,0.07268,491,307230
207,Repurposed Booster,0.05956,302,272529
208,High-tech Processor,0.53198,2317,1522057
209,Rusty Connector,0.15241,747,518110
210,Unusual Gear,0.05027,218,247965
211,Fused Display,0.0281,336,189326
212,Buzzing Actuator,0.07653,418,317417
213,Tarnished Valves,0.05671,490,264983
214,Weathered Plug,0.0505,256,248572
215,Water-stained Sensor,0.00692,239,133297
216,Humming Sensor,0.18095,989,593611
217,Pitted Actuator,0.0501,213,247515
218,Dirty Pump,0.08126,211,329921
219,Crusty Valves,0.32025,796,962035
220,Repurposed Plug,0.06476,319,286294
221,Oily Storage Unit,0.08287,237,334177
222,Crusty Radiator,0.30095,995,910987
223,Pitted Belting,0.29261,695,888941
224,Pitted Board,0.21797,846,691511
225,Tarnished Pistons,0.06473,498,286195
226,Intact Pneumatics,0.58604,1547,1665034
227,Corroded Booster,0.21425,1099,681667
228,Damaged Plating,0.29548,752,896535
229,Unusual Pump,0.00569,247,130053
230,Odd Circuits,0.02455,314,179937
231,Sparking Connector,0.15608,967,527824
232,Water-stained Belting,0.05126,486,250583
233,Sparking Cylinders,0.01533,362,155558
234,Dirty Bearing,0.19367,895,627235
235,Buzzing Pistons,0.01107,231,144290
236,Unusual Pinion,0.05235,406,253463
237,Blackened Radiator,0.0787,483,323163
238,Advanced Processor,0.65425,2206,1845430
239,Fused Tank,0.03911,206,218450
240,Water-stained Plug,0.02878,446,191112
241,Water-stained Actuator,0.04537,319,234988
242,Bent Gear,0.00827,219,136866
243,Damaged Cylinders,0.05791,203,268171
244,Sparking Compressor,0.27586,620,844617
245,Humming Inlet,0.01514,284,155046
246,Greasy Sprockets,0.0838,477,336637
247,Weathered Thruster,0.32557,785,976116
248,Well-preserved Processor,0.67501,2762,1900356
249,Humming Cylinders,0.05372,306,257096
250,Experimental Hydraulics,0.97913,2079,2704736
251,Fused Bearing,0.04676,220,238664
252,Repurposed Seal,0.02628,208,184520
253,Bent Compressor,0.15532,768,525815
254,Sparking Cog,0.08041,299,327674
255,Dirty Pistons,0.1717,707,569144
256,Tarnished Board,0.27586,640,844639
257,Unusual Crank,0.08202,401,331927
258,Water-stained Bearing,0.04474,241,233326
259,Sparking Reservoir,0.17619,790,581014
260,Pitted Pistons,0.04899,377,244573
261,Dirty Cog,0.00013,461,115347
262,Dirty Chip,0.08343,317,335662
263,Fused Seal,0.21758,638,690488
264,Oily Circuits,0.00855,232,137610
265,Water-stained Sprockets,0.20211,993,649555
266,Sparking Reservoir,0.21296,828,678273
267,Dirty Inlet,0.06988,220,299819
268,Unusual Plug,0.01172,452,146008
269,Advanced Pneumatics,0.5787,1506,1645621
270,Odd Chip,0.02092,495,170323
271,Crusty Plating,0.03491,398,207331
272,Blackened Casing,0.03823,494,216127
273,Intricate Gyroscope,0.91608,2225,2537961
274,Weathered Cylinders,0.17622,868,581090
275,Oily Radiator,0.06595,318,289434
276,Extraordinary Pneumatics,0.74801,1560,2093424
277,Rusty Pump,0.00929,314,139568
278,Extraordinary Torquer,0.75505,2380,2112039
279,Crusty Pistons,0.08039,329,327630
280,Bent Tank,0.29554,931,896680
281,Blackened Cylinders,0.13707,841,477542
282,Humming Casing,0.17666,736,582243
283,Fused Casing,0.04021,228,221365
284,Oily Inlet,0.04972,392,246497
285,Corroded Pinion,0.01642,362,158427
286,Crusty Radiator,0.07735,468,319576
287,Oily Display,0.01231,214,147556
288,Chewed Gear,0.26256,680,809450
289,Sparking Heat Pipes,0.04858,301,243482
290,Corroded Booster,0.0715,233,304118
291,Oily Belt,0.08532,211,340666
292,Fused Compressor,0.28861,1028,878353
293,Buzzing Valves,0.17814,636,586167
294,Well-preserved Accelerometer,0.74457,1965,2084335
295,Well-preserved Processor,0.79732,2849,2223857
296,Rusty Gear,0.30547,609,922949
297,Intact Torquer,0.7513,2494,2102146
298,Blackened Display,0.22158,799,701075
299,Crusty Thruster,0.08609,209,342694
300,Weathered Sprockets,0.30011,1034,908756
301,Well-preserved Torquer,0.54674,1658,1561091
302,Chewed Seal,0.30825,801,930289
303,Humming Heat Pipes,0.01204,305,146857
304,Bent Pump,0.01923,480,165874
305,Humming Gear,0.03964,312,219844
306,Rusty Belt,0.00378,455,125006
307,Experimental Accelerometer,0.49581,2777,1426382
308,Water-stained Inlet,0.01218,316,147227
309,Water-stained Seal,0.07857,446,322816
310,Weathered Pump,0.0132,381,149919
311,Crusty Valves,0.08272,392,333799
312,Damaged Ballute,0.03063,422,196015
313,Bent Pump,0.08333,259,335394
314,Blackened Valves,0.07354,329,309521
315,Corroded Radiator,0.03617,415,210678
316,Intact Regulator,0.61092,1868,1730839
317,Experimental Processor,0.65501,1719,1847450
318,Water-stained Ballute,0.01366,391,151135
319,Rusty Sprockets,0.16615,762,554451
320,Rusty Pump,0.04573,233,235960
321,Extraordinary Hydraulics,0.49122,1833,1414242
322,Blackened Crank,0.1846,980,603244
323,Repurposed Reservoir,0.21166,814,674824
324,Tarnished Board,0.07714,300,319041
325,Intact Processor,0.98389,2754,2717309
326,Fused Tank,0.07213,458,305776
327,Water-stained Cog,0.1523,640,517827
328,Chewed Actuator,0.06182,347,278505
329,Unusual Belting,0.01981,236,167392
330,Corroded Board,0.05701,477,265794
331,Greasy Storage Unit,0.24313,1083,758054
332,Greasy Compressor,0.06715,412,292615
333,Corroded Compressor,0.01295,228,149265
334,Repurposed Sensor,0.07073,429,302071
335,Well-preserved Hydraulics,0.83842,2467,2332564
336,Water-stained Chip,0.05115,460,250279
337,Repurposed Compressor,0.03955,476,219610
338,Bent Booster,0.01974,393,167213
339,Damaged Heat Pipes,0.16002,623,538246
340,Buzzing Bearing,0.28149,750,859508
341,Greasy Chip,0.03641,398,211292
342,Extraordinary Pneumatics,0.63914,1551,1805472
343,Greasy Ballute,0.00208,286,120513
344,Greasy Pistons,0.19313,978,625802
345,Tarnished Display,0.17663,967,582178
346,Corroded Plating,0.3155,629,949471
347,Fused Pump,0.08209,439,332109
348,Bent Valves,0.17359,858,574137
349,Buzzing Connector,0.23949,993,748439
350,Tarnished Sensor,0.24491,605,762770
351,Corroded Heat Pipes,0.03124,202,197622
352,Fused Inlet,0.05941,437,272140
353,Damaged Valves,0.2162,729,686827
354,Fused Heat Pipes,0.06334,219,282538
355,High-tech Regulator,0.5147,1954,1476343
356,Tarnished Board,0.06566,392,288667
357,Buzzing Pinion,0.27163,1009,833441
358,Damaged Pinion,0.28687,1009,873740
359,Crusty Actuator,0.27224,753,835056
360,Water-stained Storage Unit,0.06428,380,285009
361,Tarnished Actuator,0.29762,948,902192
362,Crusty Connector,0.06654,389,290981
363,High-tech Pneumatics,0.98947,2832,2732084
364,Water-stained Actuator,0.31322,771,943437
365,Unusual Thruster,0.0222,454,173705
366,Extraordinary Regulator,0.63628,2286,1797924
367,Chewed Gear,0.01773,339,161895
368,Chewed Connector,0.06719,464,292708
369,Chewed Ballute,0.0164,238,158389
370,Unusual Tank,0.32557,628,976107
371,Crusty Storage Unit,0.00283,386,122484
372,Fused Compressor,0.05821,286,268948
373,Advanced Regulator,0.77448,2443,2163453
374,Rusty Casing,0.06641,416,290660
375,Water-stained Belting,0.02316,271,176266
376,Bent Cog,0.0148,471,154133
377,Sparking Reservoir,0.1984,778,639745
378,Water-stained Pinion,0.00087,410,117291
379,Damaged Plating,0.01487,353,154325
380,Bent Sprockets,0.18935,1055,615814
381,Crusty Gear,0.05394,479,257679
382,Humming Tank,0.27511,627,842651
383,Chewed Heat Pipes,0.08122,221,329828
384,Repurposed Inlet,0.05557,270,261980
385,Unusual Gear,0.05018,479,247719
386,Well-preserved Processor,0.89324,2871,2477566
387,Chewed Bearing,0.05157,476,251392
388,Odd Pump,0.03096,308,196894
389,Unusual Sensor,0.01338,460,150395
390,Water-stained Crank,0.03902,395,218207
391,Tarnished Display,0.08283,415,334085
392,Rusty Bearing,0.03573,475,209515
393,Sparking Display,0.07974,212,325905
394,Well-preserved Pneumatics,0.93683,2254,2592844
395,Buzzing Pinion,0.07983,345,326148
396,Odd Pinion,0.08032,379,327452
397,Intact Processor,0.69075,2727,1941971
398,Damaged Gear,0.25863,1003,799069
399,Experimental Hydraulics,0.45766,1932,1325479
400,Extraordinary Hydraulics,0.88803,2681,2463768
401,Water-stained Bearing,0.18027,703,591807
402,Unusual Pump,0.13908,629,482853
403,Sparking Reservoir,0.03551,206,208919
404,Greasy Ballute,0.01115,203,144500
405,Greasy Board,0.03067,329,196116
406,Weathered Booster,0.15443,625,523469
407,Tarnished Pistons,0.02777,305,188462
408,Blackened Pinion,0.01527,241,155394
409,Extraordinary Regulator,0.9106,1801,2523471
410,Intricate Accelerometer,0.55966,1920,1595270
411,Blackened Display,0.02361,236,177445
412,Crusty Cog,0.04428,244,232129
413,Corroded Board,0.15112,834,514696
414,Water-stained Valves,0.21707,798,689137
415,Damaged Inlet,0.00796,427,136062
416,High-tech Pneumatics,0.9421,1621,2606787
417,Blackened Connector,0.2886,985,878324
418,Buzzing Tank,0.05069,349,249063
419,Corroded Sensor,0.01653,345,158732
420,Intricate Torquer,0.73504,1831,2059133
421,Damaged Pinion,0.22349,715,706102
422,Experimental Hydraulics,0.78146,2270,2181903
423,Intact Regulator,0.8089,2985,2254476
424,Rusty Belt,0.01972,382,167147
425,Water-stained Pump,0.24108,944,752648
426,Weathered Casing,0.02156,246,172037
427,Advanced Accelerometer,0.59344,2785,1684592
428,Experimental Gyroscope,0.57957,2653,1647927
429,Water-stained Pinion,0.01986,332,167523
430,Repurposed Plug,0.31942,751,959844
431,Blackened Actuator,0.0423,224,226882
432,Oily Board,0.14968,1020,510904
433,Buzzing Circuits,0.22564,1048,711802
434,Bent Circuits,0.1732,933,573091
435,Humming Board,0.27878,1028,852340
436,Greasy Pump,0.04693,412,239133
437,Pitted Plug,0.24568,964,764816
438,Unusual Compressor,0.2912,603,885214
439,Greasy Cog,0.06361,264,283253
440,Damaged Heat Pipes,0.03223,475,200242
441,Buzzing Booster,0.29343,693,891105
442,Intact Hydraulics,0.52803,2537,1511603
443,Chewed Booster,0.06843,366,295980
444,Oily Pistons,0.00603,366,130957
445,Corroded Chip,0.23804,905,744593
446,Repurposed Board,0.02996,284,194239
447,Rusty Belting,0.07506,351,313516
448,Crusty Thruster,0.04446,495,232585
449,Blackened Board,0.06742,478,293329
450,Chewed Heat Pipes,0.0407,487,222641
451,Repurposed Gear,0.06697,243,292139
452,Intact Torquer,0.96507,1766,2667548
453,Buzzing Heat Pipes,0.05859,352,269962
454,Bent Board,0.05936,476,272010
455,Crusty Booster,0.02766,339,188158
456,Sparking Plating,0.28898,710,879338
457,Unusual Casing,0.16707,626,556895
458,Intricate Accelerometer,0.94632,1401,2617937
459,Weathered Belt,0.26378,716,812690
460,Tarnished Actuator,0.07174,401,304748
461,Humming Gear,0.06899,204,297469
462,Pitted Storage Unit,0.06003,387,273767
463,Buzzing Thruster,0.00962,335,140434
464,Humming Bearing,0.06628,371,290299
465,Odd Actuator,0.02997,258,194269
466,Damaged Belting,0.19133,961,621056
467,Crusty Actuator,0.03514,370,207939
468,Pitted Sprockets,0.05281,328,254683
469,Humming Display,0.05192,346,252315
470,Advanced Hydraulics,0.92856,1857,2570964
471,Extraordinary Torquer,0.70348,1498,1975652
472,Damaged Connector,0.00701,475,133546
473,Tarnished Connector,0.2028,941,651381
474,Crusty Tank,0.07019,253,300647
475,Oily Reservoir,0.18933,862,615766
476,Greasy Valves,0.1497,1034,510940
477,Intact Torquer,0.54756,2532,1563264
478,Water-stained Compressor,0.03629,408,210977
479,Corroded Thruster,0.31156,1003,939064
480,Weathered Pump,0.08086,405,328866
481,Odd Pinion,0.06001,351,273723
482,Corroded Pinion,0.0817,294,331085
483,Buzzing Circuits,0.01358,237,150929
484,Damaged Radiator,0.02514,311,181481
485,Unusual Ballute,0.13624,689,475334
486,Water-stained Pistons,0.31444,996,946660
487,Oily Valves,0.03493,375,207385
488,Odd Crank,0.0519,454,252272
489,Extraordinary Regulator,0.98279,1696,2714409
490,Buzzing Radiator,0.00386,205,125214
491,Water-stained Cylinders,0.15071,1097,513623
492,High-tech Regulator,0.48167,1410,1388981
493,Water-stained Seal,0.17216,717,570349
494,Odd Display,0.02822,366,189646
495,Rusty Belt,0.15265,835,518754
496,Greasy Seal,0.14462,798,497514
497,Rusty Seal,0.08176,241,331254
498,Damaged Inlet,0.31059,903,936496
499,Sparking Pinion,0.28413,760,866497
500,Blackened Compressor,0.06544,482,288083
501,Humming Sprockets,0.01324,333,150031
502,Chewed Actuator,0.00407,427,125772
503,Greasy Radiator,0.01108,321,144299
504,Dirty Storage Unit,0.07332,328,308913
505,Sparking Cylinders,0.05217,288,252983
506,Weathered Casing,0.07667,442,317794
507,Well-preserved Accelerometer,0.50779,1894,1458073
508,Pitted Thruster,0.07528,401,314121
509,Blackened Pistons,0.0838,405,336644
510,Experimental Hydraulics,0.66425,1835,1871880
511,Humming Sensor,0.00907,308,138980
512,Greasy Sensor,0.08381,383,336680
513,Chewed Thruster,0.2534,707,785218
514,Damaged Reservoir,0.0697,234,299349
515,Buzzing Cylinders,0.08174,459,331205
516,Chewed Cylinders,0.32177,828,966051
517,Water-stained Sensor,0.1772,1062,583679
518,Pitted Actuator,0.1769,915,582880
519,Sparking Valves,0.06121,303,276902
520,Humming Gear,0.00728,390,134261
521,Corroded Valves,0.00673,299,132806
522,Corroded Sprockets,0.26059,640,804243
523,Intricate Hydraulics,0.68886,2564,1936994
524,Chewed Tank,0.01427,422,152736
525,Weathered Plating,0.15172,746,516283
526,Odd Gear,0.04051,270,222142
527,Greasy Inlet,0.05364,414,256870
528,Odd Display,0.0327,462,201488
529,Humming Thruster,0.08521,324,340387
530,Chewed Sprockets,0.00681,460,133002
531,Water-stained Circuits,0.18557,756,605821
532,Greasy Heat Pipes,0.07722,435,319242
533,Humming Pistons,0.0054,283,129278
534,Pitted Bearing,0.28897,623,879313
535,Bent Crank,0.00069,437,116837
536,Tarnished Board,0.07578,438,315441
537,Humming Chip,0.24246,770,756287
538,Well-preserved Regulator,0.76146,1555,2128995
539,Tarnished Gear,0.1402,797,485826
540,Repurposed Pinion,0.06177,213,278388
541,Unusual Booster,0.19662,1070,635035
542,Chewed Pump,0.21721,768,689505
543,Well-preserved Gyroscope,0.73789,2871,2066652
544,Water-stained Heat Pipes,0.23989,668,749481
545,Chewed Sprockets,0.22336,612,705773
546,Dirty Bearing,0.30681,1080,926491
547,Oily Bearing,0.14746,624,505031
548,Water-stained Pistons,0.03258,277,201171
549,Weathered Display,0.05645,486,264317
550,Bent Plating,0.01239,288,147760
551,Bent Pump,0.0692,466,298031
552,Pitted Cog,0.04138,419,224452
553,High-tech Hydraulics,0.69909,2836,1964049
554,Oily Belt,0.26295,705,810476
555,Fused Reservoir,0.05714,269,266120
556,Tarnished Bearing,0.14709,656,504041
557,Corroded Pistons,0.06104,483,276449
558,Odd Bearing,0.04039,237,221820
559,Well-preserved Accelerometer,0.56054,2977,1597578
560,Advanced Accelerometer,0.70941,2076,1991327
561,Experimental Pneumatics,0.90506,2095,2508820
562,Corroded Connector,0.13562,689,473704
563,Intact Regulator,0.8449,2453,2349698
564,Repurposed Sprockets,0.0589,288,270773
565,Buzzing Inlet,0.02346,237,177060
566,Fused Valves,0.00506,307,128379
567,Experimental Hydraulics,0.63368,1618,1791029
568,Crusty Valves,0.21632,922,687139
569,Intricate Regulator,0.67378,1539,1897111
570,Water-stained Inlet,0.19395,907,627989
571,Tarnished Seal,0.01667,281,159080
572,Greasy Belting,0.0236,451,177418
573,Tarnished Board,0.15638,810,528615
574,Odd Storage Unit,0.31164,800,939265
575,Chewed Cog,0.01704,449,160065
576,Intact Gyroscope,0.7977,1420,2224860
577,Bent Board,0.06949,376,298795
578,Damaged Tank,0.05231,303,253364
579,Dirty Compressor,0.20524,601,657834
580,Chewed Cylinders,0.1408,707,487412
581,Odd Plug,0.27432,633,840564
582,Fused Actuator,0.00023,473,115600
583,Chewed Gear,0.29477,1044,894644
584,Sparking Crank,0.03844,430,216679
585,Rusty Cylinders,0.06727,481,292922
586,Buzzing Pistons,0.3047,717,920903
587,Greasy Thruster,0.31021,991,935476
588,Tarnished Seal,0.02978,470,193772
589,Chewed Belt,0.05484,209,260040
590,Chewed Display,0.03626,258,210918
591,Blackened Inlet,0.21305,833,678510
592,Humming Board,0.00343,214,124064
593,Weathered Seal,0.08352,459,335913
594,Greasy Gear,0.07495,245,313232
595,Humming Pump,0.30652,603,925714
596,Fused Sprockets,0.13381,755,468913
597,Buzzing Plating,0.27377,1062,839112
598,Water-stained Circuits,0.24653,753,767055
599,Repurposed Valves,0.26191,1024,807730
600,Rusty Plug,0.27929,1039,853700
601,Dirty Gear,0.01359,213,150935
602,Well-preserved Hydraulics,0.59893,1597,1699135
603,Weathered Display,0.07349,461,309374
604,Crusty Seal,0.04838,323,242974
605,Damaged Belt,0.29921,677,906388
606,Chewed Seal,0.06363,262,283300
607,Advanced Torquer,0.47056,2365,1359590
608,Rusty Bearing,0.27138,652,832775
609,Buzzing Belt,0.00623,202,131469
610,Weathered Circuits,0.04702,458,239365
611,Tarnished Radiator,0.06639,414,290605
612,Damaged Board,0.0863,493,343260
613,Sparking Tank,0.04741,475,240390
614,Fused Display,0.07268,437,307229
615,Repurposed Gear,0.02527,324,181825
616,Humming Circuits,0.13651,754,476072
617,Unusual Pump,0.15779,641,532353
618,Buzzing Belting,0.15223,712,517648
619,Intact Pneumatics,0.47738,1621,1377644
620,Well-preserved Pneumatics,0.46678,1457,1349587
621,Greasy Sensor,0.29922,991,906411
622,Tarnished Plating,0.05314,288,255557
623,Odd Casing,0.15162,700,516024
624,Odd Radiator,0.03497,461,207481
625,Dirty Crank,0.31141,693,938648
626,Experimental Gyroscope,0.80433,2450,2242403
627,Bent Belting,0.00908,310,139026
628,Repurposed Board,0.01632,379,158166
629,Pitted Pump,0.1437,1082,495085
630,Water-stained Connector,0.23819,971,745001
631,Buzzing Chip,0.06295,249,281486
632,Tarnished Valves,0.28339,1076,864536
633,Tarnished Pinion,0.17451,604,576570
634,Humming Actuator,0.0149,332,154399
635,Extraordinary Pneumatics,0.61887,1450,1751858
636,Intact Processor,0.9533,2077,2636399
637,Repurposed Tank,0.06357,231,283135
638,Chewed Valves,0.02637,238,184749
639,Corroded Chip,0.07177,428,304814
640,Greasy Crank,0.16305,705,546244
641,Chewed Display,0.00262,222,121926
642,Greasy Connector,0.06899,204,297462
643,Greasy Inlet,0.07046,245,301357
644,Unusual Sensor,0.22658,628,714276
645,Rusty Gear,0.18806,706,612394
646,Chewed Sensor,0.02462,455,180107
647,Corroded Sensor,0.06259,291,280554
648,Chewed Radiator,0.08388,367,336847
649,Crusty Board,0.15566,702,526702
650,Greasy Casing,0.00873,278,138097
651,Oily Ballute,0.05209,391,252768
652,Crusty Radiator,0.04057,334,222315
653,Buzzing Tank,0.16663,911,555714
654,Damaged Circuits,0.03194,259,199492
655,Chewed Display,0.07006,474,300302
656,Corroded Tank,0.32028,799,962129
